extraction_pressure,temperature,ground_size,extraction_time,dose_size,bean_type,processing_method,acidity,strength,sweetness,fruitiness,maltiness
4.370861069626263,85.34572104255408,677.828481538859,21.033634423372153,16.031238688359327,robusta,washed,5.10743062084139,2.7858706500079444,3.2322129667648087,2.60248998286901,0.6081966233826694
9.556428757689245,92.00051452390159,175.72596849554395,30.62709263136296,24.025529066795666,blend,washed,3.7624881987045127,10.0,1.9926685425275146,4.2213799841665995,5.429584101306486
7.587945476302646,88.4579157918396,245.46584268515238,30.81270243220213,20.052523724478572,arabica,natural,2.746924662722563,6.4684321222834384,2.4522616024766597,3.524706127760509,4.238270143459643
6.387926357773329,90.59427760281173,908.6987696743713,32.74859802996413,23.26457466107742,arabica,natural,5.182946736368677,5.9884210989904645,4.034279002918163,5.593307859257049,6.028978766317995
2.4041677639819286,94.98323121318703,645.7861536936309,34.52182667445323,18.200496010306118,arabica,honey,6.765630490787932,2.8824375274754592,4.760516028785512,9.481415016045325,5.876283805771431
2.403950683025824,87.74221452063762,108.27734645496668,39.517041589250695,23.955232284962005,arabica,honey,0.8459847473869304,2.5596859899735467,1.4132235464914098,2.950889644175842,10.0
1.5227525095137953,89.51421215339192,191.3243885794289,30.326006966023904,18.892016787341632,arabica,honey,4.845650354480228,2.301274442109928,1.9637780899687547,5.08812823820708,4.299308429020422
8.795585311974417,93.31106252397353,697.1515921972502,26.45912945882492,15.108376514802984,arabica,natural,7.403871708968165,5.818284378206754,8.020567681682882,5.585367345381499,2.5100831541717943
6.41003510568888,87.51677982040785,104.55542546159681,35.90372389537407,24.05381976419264,arabica,natural,4.179263588786507,5.64450507539852,3.508936625883414,2.71616790536551,7.720472157324859
7.372653200164409,85.84677900811673,244.7272462757488,25.416645025241486,15.912866767861335,robusta,natural,5.06578758744991,5.684780119167682,3.1883002048561906,1.8770767356450069,2.8925049263242855
1.185260448662222,88.18726598205144,593.8604104299275,28.779428414112722,18.19313637590415,blend,natural,4.211756700144454,1.7677527561225115,3.958528799108772,5.0703624402850265,5.362274604770087
9.72918866945795,86.77343415979405,722.7056779234239,21.56912762684532,24.50061967050805,arabica,natural,5.08007855028956,8.378416018570494,0.9347776443230569,0.11267268880468251,2.5495684349099235
8.491983767203795,95.22667417576831,686.7651335523404,20.50701486830915,24.506071469375563,robusta,natural,8.562773437793545,8.442026675786177,6.0597048290795925,7.45146571623321,2.2060612533476807
2.9110519961044856,93.88932417520859,301.8423785145038,39.2529682935585,20.73437888123286,robusta,natural,3.8978324087821736,5.259933538564489,6.380316226608941,8.59066598546844,8.728647790603352
2.636424704863906,91.96744132161466,740.9612992127823,36.71960241024412,21.31837212169799,blend,honey,3.107560905540505,3.447067239466397,3.514498073126981,7.381480222216704,7.774667908690417
2.650640588680904,94.5860664920649,313.52417874712006,33.919484121873964,19.484455219783197,arabica,honey,4.5631406968684,3.13744649515185,7.03876860603309,9.516297207668195,7.052064026238744
3.7381801866358395,93.84039284589026,392.859728343341,28.179058888285397,17.932107716980646,blend,honey,6.449308145145053,2.7450958372644942,5.4822697502851945,8.47071670056358,3.9691470898033425
5.72280788469014,87.0522706477464,771.8422646062218,23.465886401416917,18.28664545369916,arabica,honey,4.56448270049866,3.6069074480052215,2.092137307825079,3.073494474471858,1.8691258273671116
4.887505167779041,94.81814898338976,684.6696091424932,23.12874085342172,21.725184560770384,robusta,natural,10.0,5.49827235310551,7.444032153629219,7.995030825979229,3.097597566026733
3.6210622617823773,90.93276466107216,864.3010694447602,25.004857963291904,22.523745294376802,robusta,washed,7.206317429272072,3.569484713541678,5.229404531993667,4.566074897852259,4.233528141646994
6.506676052501415,93.88184170680469,691.851603070309,30.984533294122407,22.915790437258487,robusta,natural,6.11962985362039,6.280120722408801,5.57966004501409,7.2614552600409334,6.233500599924605
2.2554447458683766,94.85700429915843,611.4777430019244,34.29191845400125,22.89618142794554,robusta,washed,6.658691764044154,3.248993501333844,7.98699641500193,9.10877986480665,7.195979215037518
3.629301836816963,88.4980382246905,184.30729104528322,33.203947534354626,15.912061030486903,blend,honey,3.2213578966551504,2.8756112438314,1.4710119367428598,4.550913804521923,5.525461482751151
4.297256589643226,86.21057116980444,430.9442227534902,25.598677938918858,19.944203047025816,arabica,natural,3.7467034545392326,4.312878961024616,2.6732915791882137,1.5693695425505672,3.877710467014558
5.104629857953324,87.50728678796136,338.6821309135529,39.097305613263885,15.575587600166443,arabica,honey,2.1389810174066466,4.047498324974011,3.2427550245765118,2.3137287539193547,7.676171235946997
8.066583652537123,89.69818567488882,319.59067904117524,34.75793833391537,20.495288823237356,blend,natural,3.6238494670951287,6.219262432049835,3.1939615445275487,4.523743430210388,6.8839195338277435
2.7970640394252375,93.99816242514743,975.7094992772011,31.087081050228015,19.41530501373377,arabica,honey,5.400578917076171,2.4971388036372213,6.748260061116557,8.16743675024264,4.887457032472604
5.628109945722504,94.46803641581978,453.78795220008436,32.234414924687044,23.877041827583,robusta,washed,5.882029118179534,5.3297747278447165,4.547363823019414,8.138432238151562,6.500052184584984
