extraction_pressure,temperature,ground_size,extraction_time,dose_size,cup_size,bean_type,blend_info,processing_method,acidity,strength,sweetness,fruitiness,maltiness
4.370861069626263,87.25143348549388,400,32.84063292308576,15.0,89.0,robusta,,honey,2.3826023683252484,4.688923459955686,4.8978126514011455,2.8155162856336,1.0
9.556428757689245,92.09128329011024,400,21.682799299900978,15.0,236.588,blend,,washed,8.32566122244741,6.599006654092426,2.309513291773922,4.421404357391548,6.664800241324197
7.587945476302646,89.51484784861061,400,23.232574281892276,15.761495300845974,236.588,arabica,,natural,5.968023803911329,5.509061693685745,3.0459289579431243,3.7547891375684155,3.8570662858312885
6.387926357773329,91.06856552931762,400,37.97108377054158,15.114628874208913,236.588,arabica,,washed,1.9512163757970717,4.500481704052634,8.349866717844396,3.8288359366792237,6.124231979717801
2.4041677639819286,94.26053179140874,400,32.1285811931918,16.160273010082477,236.588,arabica,,honey,5.987029796795146,1.0,6.5093984217770124,8.025779287971341,8.32186595047742
2.403950683025824,88.994337833191,400,20.183941032332594,22.473621426327668,354.882,arabica,,honey,6.329829565748614,3.678528468532669,1.8801318920042664,3.2209011222005834,4.008405222070178
1.5227525095137953,90.28306338428504,400,22.02943085732064,16.00903658380926,236.588,arabica,,honey,7.427650326564171,1.0,1.0,6.16945967403384,4.614442358031179
8.795585311974417,93.04440910834438,400,33.27003538216111,16.873019442266344,236.588,arabica,,washed,3.6050126184068376,6.501538827902296,5.530865421527448,5.783226047820284,7.58651971191372
6.41003510568888,88.83038532393297,400,20.101231676924375,15.0,236.588,arabica,,washed,7.829642959742422,4.704870705559864,1.0,2.7525529964649555,2.5531313017945103
7.372653200164409,87.61583927863035,400,23.216161028349973,15.0,89.0,robusta,"{'ethiopian': 26, 'brazilian': 19, 'robusta': 55}",washed,5.8749861394809235,5.674833483276192,1.1249769823697333,3.3510095441874106,1.0
1.185260448662222,89.31801162331014,400,30.974675787331723,16.161897939783252,236.588,blend,,washed,4.0999350309057725,2.716505569949909,4.386430380734851,4.236911998652847,4.0193483682048665
9.72918866945795,88.28977029803204,400,33.83790395385387,15.0,89.0,arabica,,honey,3.3002560763449655,6.28413003592596,6.442260621237819,1.0,2.4876505688802455
8.491983767203795,94.43758121874059,400,33.03922519005201,15.0,89.0,robusta,,honey,6.922637738586853,7.211072919996326,7.46831138759682,6.47800529145666,8.722298421212637
2.9110519961044856,93.46496303651534,400,24.485386189211198,23.429386049136827,354.882,robusta,,natural,8.611348343758365,5.072006013990906,3.182791503593074,8.42327519387598,7.625544030047952
2.636424704863906,92.06723005208339,400,34.24358442695072,23.250102834616403,354.882,blend,,natural,2.744759469845226,4.953546667495708,6.283637376404575,8.105882345008498,6.532741458948748
2.650640588680904,93.97168472150175,400,24.744981749936002,15.881703054811483,236.588,arabica,,washed,6.994536514426713,2.8887894493673576,4.3981732956486645,7.571975166187745,9.677656074334159
3.7381801866358395,93.42937661519292,400,26.507993963185356,16.219742401940458,236.588,blend,,honey,6.70431660412424,2.1491357920963132,4.817046098373807,8.143275309147276,8.103253016410235
5.72280788469014,88.49256047108828,400,34.92982810236048,15.0,89.0,arabica,"{'ethiopian': 29, 'colombian': 71}",honey,2.3182428915124103,4.580999366377295,6.394009308277949,3.136416060950718,1.9275590534152645
4.887505167779041,94.14047198791982,400,32.992657980944294,15.0,89.0,robusta,,honey,5.913011491748575,3.7555463518376935,8.454203970729818,7.16747972002914,8.91015945436683
3.6210622617823773,91.31473793532521,400,36.98446820988356,15.0,89.0,robusta,,natural,2.4106109701671685,3.1140460427135306,7.335683137882518,6.571386543551558,5.717718392367028
6.506676052501415,93.4595212413125,400,33.15225784600687,15.182288382899225,236.588,robusta,,natural,5.292694914133969,5.147454112179598,6.051324295896235,6.8535275663738995,6.918518075005778
2.2554447458683766,94.16873039938794,400,31.36617206670943,15.186110260028945,236.588,robusta,,honey,5.445445425153066,3.996072066305283,6.082233421986574,6.88697058262273,9.037674266052527
3.629301836816963,89.54402779977491,400,21.87349535656185,16.68178844063528,236.588,blend,,honey,6.345927955554367,2.6931188164945197,1.4108107117884487,5.8648606751326735,3.7465640096424337
4.297256589643226,87.88041539622141,400,27.35431606118867,15.0,89.0,arabica,,honey,3.268186390516299,2.6636103601984207,3.3825067704214384,4.4171621954937486,2.338570503155794
5.104629857953324,88.82348130033553,400,25.30404735363451,25.0,354.882,arabica,,natural,4.711732263951289,6.914811507424334,2.4768788710141694,3.072300886321821,3.9758945103501437
8.066583652537123,90.41686230901006,400,24.87979286758167,15.669057214546248,236.588,blend,"{'robusta': 27, 'brazilian': 29, 'colombian': 44}",honey,5.250176582316079,5.705711332473181,3.1377899280552257,4.021721003116744,5.4072526124101925
2.7970640394252375,93.54411812737995,400,39.46021109504891,15.896461081247757,236.588,arabica,,honey,2.4856707437901053,1.7786335298854816,8.82242021381706,8.043820646410474,8.227688548025023
5.628109945722504,93.88584466605074,400,27.861954493335208,15.0,236.588,robusta,,washed,7.7937141675629675,5.263289843250025,6.028057208408618,7.11054413176983,8.193312294936252
6.331731119758382,87.05561704424953,400,37.84093110354227,16.092418399343032,236.588,arabica,,washed,1.0,6.412830179241718,7.199019339472667,1.5089643364691505,2.3492490764056515
1.4180537144799796,91.08597842062052,400,32.62277251994526,15.0,89.0,robusta,,natural,6.24504624501895,1.0,6.982818967781509,5.8391416198877435,5.6263349402053295
6.467903667112945,90.33928802519023,400,35.89622607083297,16.560848068354925,236.588,blend,,honey,3.2361695515526256,4.5862744758992005,7.5859966572572635,4.155045143848683,4.76366367429548
2.5347171131856236,88.77686248376584,400,30.052741862103844,15.241105193696528,236.588,arabica,"{'ethiopian': 26, 'robusta': 41, 'colombian': 33}",honey,4.079000844635306,2.373108132016211,4.86606481938188,5.455025052931946,2.9869077506815676
1.5854643368675156,87.95892293866946,400,31.53807769252718,15.0,89.0,blend,"{'colombian': 35, 'robusta': 29, 'arabica': 36}",washed,2.4356716169378565,1.0,5.324488239824607,4.682889335243294,2.1778306863870696
9.539969835279999,89.70092137122903,400,29.850353876377277,15.0,89.0,arabica,,natural,4.967707228244274,7.665714770593932,5.027990580137059,2.374103100253986,3.966356336670686
9.690688297671034,94.54327763130016,400,23.90485975596089,15.0,89.0,robusta,,washed,8.062456423681276,7.3768397041817435,4.056122422358465,6.608140388773984,9.199356331772558
8.275576133048151,89.58562345616605,400,34.44904230523011,15.0,89.0,blend,"{'colombian': 11, 'ethiopian': 20, 'robusta': 69}",washed,3.0472617909341873,4.715488632211463,7.461851165906378,1.0,3.6353969175666068
3.741523922560336,91.15032497394692,400,25.615447248817116,25.0,354.882,arabica,,washed,8.383475389004037,7.923206019513337,3.529995518997083,6.6443393381144595,5.652738960582289
1.8790490260574548,92.62415167116143,400,20.486319328629076,15.123512707121009,236.588,robusta,,washed,8.599541255717094,3.075976330840378,2.1924097427491542,5.820388892145193,7.055458244489724
7.158097238609412,89.90903681903436,400,32.909445918143355,15.350412887767344,236.588,blend,,honey,4.465923428386939,4.854717324208604,5.963239411981997,3.337299689574238,3.9162435300750675
4.961372443656412,94.77425666176768,400,23.542213588140978,15.0,89.0,blend,,honey,8.183003689045393,3.293378449402094,4.51126774966606,6.766313887877388,9.799253858334588
2.0983441136030097,94.69957835953689,400,38.80917168705828,16.696783296083492,236.588,arabica,,washed,3.948677635240398,2.4175667318615197,9.260305729651805,7.544154654112375,9.53453704576857
5.456592191001432,89.01425836660292,400,39.07857154005175,15.0,236.588,arabica,,natural,2.6257599382400443,4.337409884333646,9.507341940372353,4.608599123746535,4.018037156719625
1.3094966900369656,90.97798804713908,400,38.29728780440897,15.0,89.0,arabica,,natural,1.925354800248813,1.5427165988828462,8.475186865261522,5.976650078912366,4.1497516488349575
9.18388361870904,89.40702647853416,400,27.403174005108887,16.049347891224713,236.588,robusta,,natural,6.446233200459086,9.07739009969521,2.682280469226856,2.907585000099152,4.253658214312165
3.3290198344001523,89.27872395501974,400,20.30913233057735,15.141051422303963,236.588,arabica,"{'robusta': 36, 'arabica': 64}",natural,7.724961863504349,2.323683518731433,1.0,4.484594996508308,4.186607045646025
6.962700559185838,87.29509557883627,400,38.566371251754504,15.0,236.588,blend,,washed,1.0,4.404750012234114,7.153081524884174,2.334719893904576,1.0
3.8053996848046987,91.87651467183917,400,28.563682966346285,15.0,236.588,blend,"{'colombian': 19, 'arabica': 27, 'ethiopian': 54}",honey,6.320709672825316,1.50430893079908,5.360561490128914,6.203036065430409,6.314735208778897
5.680612190600297,91.02143218583089,400,39.33309638087339,15.0,89.0,arabica,,natural,2.860702749729092,3.5101167132174034,8.493060112709944,3.816037339896087,5.338390776061854
5.920392514089517,87.41183000999992,400,39.272399541785056,16.03712540594999,236.588,arabica,"{'brazilian': 60, 'colombian': 40}",washed,1.0,4.72792402649935,7.630558009757723,3.2142952747607656,1.0
2.6636900997297435,89.2291717138929,400,37.060189109347206,16.699934782406856,236.588,blend,,natural,1.0,4.2494249975601495,6.246737568940138,4.296344474269923,3.11890983433407
9.726261649881026,94.26612708773322,400,25.888977841391714,15.210462304336351,236.588,robusta,,natural,7.204196164986288,6.809337568833382,4.045682597346268,4.417413436917175,8.619105050966963
7.976195410250031,88.91649512533579,400,27.701954572038506,23.47598701223241,354.882,arabica,,washed,4.53594689284246,9.280988679164325,1.998376961278634,2.323242428988089,4.03219223771457
9.455490474077703,88.15915897672978,400,37.02273343033714,15.933521364617478,236.588,arabica,,honey,1.4396808283985014,7.345009405935507,6.148666042495407,2.948011699429405,2.7718930453947386
9.053446153848839,90.91562208222051,400,26.338440103125553,15.0,89.0,blend,,honey,6.5537820277480785,7.820912040725821,4.141963692977699,4.413590974473645,6.040852389995152
6.381099809299767,94.88520363288481,400,23.38985493372185,15.0,89.0,arabica,"{'colombian': 35, 'brazilian': 65}",washed,8.961689601670164,7.074682552329658,4.036381516373435,7.015682667531794,10.0
9.296868115208051,88.936442172092,400,31.136025249167005,15.78805803753022,236.588,robusta,,honey,2.64443486149446,6.691957394571104,5.328189611483572,1.9529249492142056,2.613971557994886
1.7964325184672756,92.37708437924702,400,38.723095483215616,15.0,89.0,blend,,washed,3.2198064662759402,1.0,8.399558176389444,6.89128088688158,6.786959793513014
2.763845761772307,93.09295692262974,400,33.920595933499456,15.838716695047962,236.588,arabica,,washed,5.21280627485508,3.3020864769738765,7.264816282558437,9.098996738705731,8.099263818572416
