extraction_pressure,temperature,ground_size,extraction_time,dose_size,cup_size,bean_type,blend_info,processing_method,acidity,strength,sweetness,fruitiness,bitterness
4.370861069626263,87.25143348549388,400,32.84063292308576,15.0,89.0,robusta,,honey,4.036859725917378,2.3769581583916146,4.753341588321758,3.12054452423679,1.0
9.556428757689245,92.09128329011024,400,21.682799299900978,15.0,236.588,ethiopian,,washed,8.226215722152151,5.842424216406227,3.497455096113789,4.7785848815858,5.5653338706478195
7.587945476302646,89.51484784861061,400,23.232574281892276,15.761495300845974,236.588,arabica,,natural,6.599959450907822,5.515408511263085,2.5188115791678785,3.023960882695635,3.919469250589657
6.387926357773329,91.06856552931762,400,37.97108377054158,15.114628874208913,236.588,arabica,,washed,4.43992735590343,5.89630542007255,8.89548150716579,4.579610231540041,6.898922012181602
2.4041677639819286,94.26053179140874,400,32.1285811931918,16.160273010082477,236.588,arabica,,honey,7.771642029267487,2.6086440472706647,7.636031381167228,8.281316681161329,9.066675155499754
2.403950683025824,88.994337833191,400,20.183941032332594,22.473621426327668,354.882,arabica,,washed,7.860611115957306,4.32852653918868,1.2000789983014089,5.693136920357364,3.2670877798150006
1.5227525095137953,90.28306338428504,400,22.02943085732064,16.00903658380926,236.588,arabica,,washed,7.0311525730746745,1.356327886384469,2.4773410973012684,7.943598548073836,5.584528116588713
8.795585311974417,93.04440910834438,400,33.27003538216111,16.873019442266344,236.588,arabica,,natural,5.296812986199321,6.56435744854758,6.240784291857312,5.31384735294404,8.095097556418324
6.41003510568888,88.83038532393297,400,20.101231676924375,15.0,236.588,arabica,,natural,6.526976045155413,3.5510560176558865,1.9235084994382758,3.0393107050078942,3.1676140079160633
7.372653200164409,87.61583927863035,400,23.216161028349973,15.0,89.0,robusta,"{'ethiopian': 42, 'robusta': 33, 'arabica': 25}",honey,6.1416063577324405,4.824645610963676,3.0194156792718396,3.2699079871226857,1.9138775211158765
1.185260448662222,89.31801162331014,400,30.974675787331723,16.161897939783252,236.588,ethiopian,,washed,3.6319716479275295,1.1237084120563752,4.636869834643507,4.637001227249465,3.7328850425107336
