extraction_pressure,temperature,ground_size,extraction_time,dose_size,bean_type,acidity,strength,sweetness,fruitiness,maltiness
4.370861069626263,85.34572104255408,677.828481538859,21.033634423372153,16.031238688359327,robusta,6.29033238758518,3.8387678344214304,1.7787024450090487,4.000127923189795,0.0
9.556428757689245,92.00051452390159,175.72596849554395,30.62709263136296,24.025529066795666,blend,6.788702947090123,9.29759419133575,5.974148266495414,2.587363873184599,5.735247912548359
7.587945476302646,88.4579157918396,245.46584268515238,30.81270243220213,20.052523724478572,arabica,4.72364553669975,6.725017088913247,3.7008526135639563,3.8397364119347817,7.347247011309877
6.387926357773329,90.59427760281173,908.6987696743713,32.74859802996413,23.26457466107742,arabica,4.951363243875686,7.775707089120841,5.362072232995221,5.6917158904939456,6.786859140859502
2.4041677639819286,94.98323121318703,645.7861536936309,34.52182667445323,18.200496010306118,arabica,7.193735288563944,3.6467013272458186,7.851583679901494,7.787390234859757,6.09554146427048
2.403950683025824,87.74221452063762,108.27734645496668,39.517041589250695,23.955232284962005,arabica,2.8961566310377798,4.60331191741913,3.000692652874214,3.9658711382909653,9.209855545929239
1.5227525095137953,89.51421215339192,191.3243885794289,30.326006966023904,18.892016787341632,arabica,4.567140548170119,1.9441160035109313,4.068348068979575,4.93126072057082,4.8167561291343555
8.795585311974417,93.31106252397353,697.1515921972502,26.45912945882492,15.108376514802984,arabica,7.6618937619973835,6.038883838077068,8.922148784670176,7.255919928136073,1.8587959209451754
6.41003510568888,87.51677982040785,104.55542546159681,35.90372389537407,24.05381976419264,arabica,3.1511063158122434,7.221304164914692,1.9277063278870017,3.801971945384051,10.0
7.372653200164409,85.84677900811673,244.7272462757488,25.416645025241486,15.912866767861335,robusta,6.079475977008046,6.426456944473214,1.5410003160784709,2.49848641567323,2.2287796522930896
1.185260448662222,88.18726598205144,593.8604104299275,28.779428414112722,18.19313637590415,blend,5.569019218915007,2.76026018618559,1.9770397144282736,5.083070654311368,4.1526892801505015
